customer_id,city,registration_date,age_group,gender,yandex_plus
YM000001,Нижний Новгород,2023-05-28,35-44,М,True
YM000002,Ростов-на-Дону,2023-07-05,35-44,М,False
YM000003,Москва,2023-05-14,25-34,М,True
YM000004,Москва,2023-04-02,35-44,Ж,True
YM000005,Москва,2024-02-26,45-54,Ж,False
YM000006,Москва,2024-02-16,45-54,М,False
YM000007,Воронеж,2024-11-18,45-54,М,False
YM000008,Ростов-на-Дону,2023-01-02,18-24,Ж,True
YM000009,Екатеринбург,2023-01-22,45-54,М,True
YM000010,Новосибирск,2024-08-10,18-24,Ж,False
YM000011,Москва,2024-01-10,18-24,М,False
YM000012,Пермь,2023-04-11,18-24,Ж,True
YM000013,Краснодар,2023-01-12,18-24,Ж,True
YM000014,Другие,2023-01-31,18-24,Ж,False
YM000015,Самара,2023-04-10,55+,М,False
YM000016,Краснодар,2023-07-26,25-34,М,True
YM000017,Новосибирск,2023-12-19,45-54,Ж,False
YM000018,Москва,2024-12-31,35-44,Ж,False
YM000019,Ростов-на-Дону,2023-04-06,35-44,Ж,False
YM000020,Воронеж,2024-12-16,25-34,Ж,False
YM000021,Москва,2024-07-01,35-44,Ж,True
YM000022,Москва,2023-09-11,18-24,Ж,True
YM000023,Другие,2023-03-24,25-34,Ж,False
YM000024,Москва,2023-02-23,18-24,Ж,False
YM000025,Санкт-Петербург,2023-06-06,25-34,Ж,True
YM000026,Красноярск,2024-06-14,25-34,Ж,False
YM000027,Челябинск,2023-02-19,35-44,М,True
YM000028,Казань,2024-12-31,18-24,Ж,True
YM000029,Санкт-Петербург,2023-07-22,25-34,Ж,False
YM000030,Санкт-Петербург,2023-05-17,55+,Ж,True
YM000031,Санкт-Петербург,2023-03-09,35-44,М,False
YM000032,Пермь,2023-01-14,18-24,Ж,False
YM000033,Москва,2023-03-01,35-44,М,False
YM000034,Новосибирск,2023-04-08,18-24,Ж,False
YM000035,Другие,2023-03-17,35-44,М,False
YM000036,Санкт-Петербург,2023-06-13,25-34,Ж,False
YM000037,Челябинск,2023-08-01,35-44,Ж,False
YM000038,Пермь,2023-04-06,25-34,М,True
YM000039,Новосибирск,2023-01-11,25-34,Ж,True
YM000040,Москва,2023-06-19,55+,М,True
YM000041,Новосибирск,2023-01-08,25-34,М,False
YM000042,Москва,2024-08-26,55+,М,True
YM000043,Нижний Новгород,2023-07-08,18-24,М,False
YM000044,Тюмень,2023-10-27,35-44,Ж,True
YM000045,Другие,2023-04-23,18-24,Ж,False
YM000046,Москва,2023-11-29,18-24,М,False
YM000047,Екатеринбург,2023-03-30,25-34,Ж,True
YM000048,Другие,2023-01-28,25-34,Ж,True
YM000049,Москва,2023-03-16,35-44,М,True
YM000050,Другие,2023-03-28,45-54,Ж,True
YM000051,Москва,2023-01-28,45-54,Ж,True
YM000052,Казань,2023-02-05,35-44,Ж,True
YM000053,Казань,2023-01-15,35-44,М,False
YM000054,Другие,2023-03-11,18-24,М,True
YM000055,Москва,2023-04-01,45-54,М,False
YM000056,Москва,2023-02-22,55+,Ж,False
YM000057,Другие,2023-06-03,35-44,Ж,True
YM000058,Другие,2024-10-26,25-34,М,False
YM000059,Москва,2023-02-25,18-24,М,False
YM000060,Другие,2023-10-13,18-24,Ж,False
YM000061,Санкт-Петербург,2023-08-14,45-54,Ж,True
YM000062,Санкт-Петербург,2023-02-23,25-34,Ж,True
YM000063,Другие,2023-02-12,18-24,Ж,True
YM000064,Другие,2023-03-09,25-34,Ж,False
YM000065,Ростов-на-Дону,2023-01-10,25-34,Ж,False
YM000066,Москва,2023-02-17,45-54,Ж,False
YM000067,Казань,2024-08-05,18-24,М,False
YM000068,Ростов-на-Дону,2023-06-25,35-44,М,False
YM000069,Тюмень,2023-01-02,35-44,М,True
YM000070,Санкт-Петербург,2024-12-31,55+,М,False
YM000071,Екатеринбург,2023-10-21,35-44,Ж,False
YM000072,Другие,2023-03-12,35-44,Ж,False
YM000073,Санкт-Петербург,2023-02-03,18-24,Ж,False
YM000074,Ростов-на-Дону,2024-02-17,35-44,М,True
YM000075,Новосибирск,2023-06-07,25-34,М,False
YM000076,Ростов-на-Дону,2023-10-26,25-34,Ж,False
YM000077,Москва,2023-04-24,35-44,Ж,False
YM000078,Казань,2023-07-16,25-34,М,False
YM000079,Другие,2023-05-22,35-44,Ж,False
YM000080,Воронеж,2023-01-18,35-44,М,False
YM000081,Екатеринбург,2023-01-11,35-44,Ж,True
YM000082,Санкт-Петербург,2023-08-17,35-44,М,False
YM000083,Челябинск,2023-06-23,35-44,Ж,True
YM000084,Москва,2023-07-24,45-54,М,False
YM000085,Нижний Новгород,2023-08-03,25-34,М,False
YM000086,Новосибирск,2023-04-08,45-54,М,True
YM000087,Москва,2023-10-31,25-34,Ж,False
YM000088,Санкт-Петербург,2024-01-16,25-34,Ж,False
YM000089,Воронеж,2023-03-06,45-54,М,True
YM000090,Санкт-Петербург,2023-05-03,55+,Ж,True
YM000091,Санкт-Петербург,2023-05-10,35-44,М,True
YM000092,Краснодар,2023-11-10,35-44,Ж,True
YM000093,Тюмень,2023-06-26,45-54,Ж,False
YM000094,Санкт-Петербург,2023-06-27,35-44,Ж,False
YM000095,Москва,2023-04-25,25-34,М,True
YM000096,Воронеж,2024-02-12,35-44,Ж,False
YM000097,Другие,2023-01-22,25-34,Ж,True
YM000098,Нижний Новгород,2023-01-17,25-34,М,False
YM000099,Ростов-на-Дону,2024-07-31,55+,Ж,False
YM000100,Москва,2024-03-25,25-34,Ж,True
YM000101,Казань,2024-12-31,35-44,Ж,False
YM000102,Другие,2023-03-25,45-54,Ж,False
YM000103,Другие,2024-02-13,35-44,М,True
YM000104,Другие,2024-05-13,25-34,Ж,False
YM000105,Челябинск,2023-06-21,35-44,Ж,False
YM000106,Москва,2023-08-03,25-34,Ж,True
YM000107,Краснодар,2023-07-18,55+,Ж,False
YM000108,Екатеринбург,2023-03-02,25-34,М,True
YM000109,Краснодар,2023-04-03,25-34,М,True
YM000110,Москва,2023-10-18,18-24,Ж,False
YM000111,Новосибирск,2023-02-06,45-54,М,False
YM000112,Красноярск,2023-08-07,45-54,Ж,False
YM000113,Другие,2023-03-14,25-34,М,True
YM000114,Москва,2023-11-04,35-44,Ж,True
YM000115,Другие,2023-12-30,18-24,Ж,False
YM000116,Челябинск,2023-02-19,45-54,М,True
YM000117,Санкт-Петербург,2023-10-04,35-44,М,True
YM000118,Санкт-Петербург,2023-01-21,18-24,М,False
YM000119,Санкт-Петербург,2024-02-09,35-44,М,False
YM000120,Москва,2023-04-29,35-44,Ж,False
YM000121,Другие,2023-03-18,45-54,Ж,True
YM000122,Тюмень,2023-08-08,25-34,М,False
YM000123,Воронеж,2023-02-24,35-44,Ж,True
YM000124,Другие,2023-04-14,25-34,Ж,False
YM000125,Краснодар,2023-04-23,25-34,М,True
YM000126,Санкт-Петербург,2023-02-09,25-34,Ж,False
YM000127,Москва,2023-01-05,25-34,Ж,False
YM000128,Другие,2024-05-30,35-44,М,False
YM000129,Санкт-Петербург,2023-01-04,35-44,М,True
YM000130,Новосибирск,2023-03-28,25-34,Ж,True
YM000131,Санкт-Петербург,2023-08-18,55+,Ж,False
YM000132,Другие,2023-01-05,55+,М,False
YM000133,Москва,2024-04-05,45-54,Ж,True
YM000134,Москва,2023-06-01,35-44,М,True
YM000135,Екатеринбург,2023-09-05,25-34,М,False
YM000136,Другие,2023-02-08,35-44,М,False
YM000137,Другие,2023-01-06,25-34,М,True
YM000138,Москва,2023-02-16,35-44,М,True
YM000139,Казань,2023-01-22,55+,Ж,False
YM000140,Москва,2023-08-24,45-54,М,True
YM000141,Другие,2023-10-22,18-24,Ж,False
YM000142,Санкт-Петербург,2024-12-14,25-34,М,True
YM000143,Ростов-на-Дону,2024-07-20,18-24,Ж,True
YM000144,Казань,2023-11-05,35-44,М,False
YM000145,Краснодар,2023-02-25,35-44,Ж,True
YM000146,Другие,2023-01-31,55+,Ж,False
YM000147,Москва,2024-12-31,25-34,Ж,False
YM000148,Санкт-Петербург,2023-05-17,25-34,Ж,False
YM000149,Самара,2023-09-24,18-24,Ж,True
YM000150,Новосибирск,2023-08-17,45-54,М,False
YM000151,Москва,2023-05-02,25-34,М,False
YM000152,Другие,2023-02-21,35-44,Ж,False
YM000153,Санкт-Петербург,2023-09-11,45-54,Ж,True
YM000154,Нижний Новгород,2024-01-27,55+,М,False
YM000155,Москва,2023-09-22,25-34,Ж,True
YM000156,Москва,2023-06-01,25-34,М,False
YM000157,Санкт-Петербург,2023-07-29,25-34,Ж,False
YM000158,Москва,2023-05-23,18-24,М,False
YM000159,Казань,2023-06-19,55+,Ж,True
YM000160,Новосибирск,2023-08-31,45-54,Ж,True
YM000161,Новосибирск,2023-11-13,55+,Ж,False
YM000162,Пермь,2024-04-08,25-34,М,False
YM000163,Москва,2023-11-02,35-44,М,False
YM000164,Краснодар,2023-02-12,55+,Ж,False
YM000165,Самара,2023-04-15,25-34,М,False
YM000166,Воронеж,2023-04-22,25-34,М,False
YM000167,Нижний Новгород,2023-07-30,45-54,Ж,True
YM000168,Другие,2023-05-10,18-24,М,True
YM000169,Краснодар,2023-06-23,35-44,Ж,False
YM000170,Екатеринбург,2023-10-04,25-34,М,False
YM000171,Санкт-Петербург,2023-12-05,45-54,Ж,False
YM000172,Москва,2023-05-18,35-44,М,False
YM000173,Красноярск,2023-04-29,25-34,Ж,False
YM000174,Другие,2023-10-21,25-34,Ж,False
YM000175,Екатеринбург,2023-01-28,35-44,М,True
YM000176,Другие,2023-05-26,45-54,Ж,False
YM000177,Ростов-на-Дону,2023-08-15,55+,Ж,False
YM000178,Воронеж,2023-08-26,45-54,М,True
YM000179,Краснодар,2023-08-19,18-24,М,False
YM000180,Другие,2023-01-05,18-24,Ж,False
YM000181,Другие,2023-03-04,18-24,М,False
YM000182,Другие,2023-03-24,45-54,Ж,True
YM000183,Москва,2023-06-08,18-24,Ж,True
YM000184,Уфа,2023-07-10,35-44,М,False
YM000185,Другие,2023-04-16,45-54,М,False
YM000186,Москва,2023-03-06,18-24,Ж,True
YM000187,Москва,2023-08-22,35-44,Ж,False
YM000188,Москва,2023-03-14,45-54,Ж,True
YM000189,Санкт-Петербург,2023-05-10,18-24,Ж,True
YM000190,Челябинск,2023-04-24,35-44,Ж,True
YM000191,Нижний Новгород,2023-05-11,25-34,М,False
YM000192,Пермь,2023-12-14,35-44,Ж,True
YM000193,Москва,2023-04-22,18-24,Ж,False
YM000194,Краснодар,2023-05-12,35-44,Ж,True
YM000195,Другие,2023-08-14,45-54,М,False
YM000196,Воронеж,2023-01-16,25-34,Ж,False
YM000197,Санкт-Петербург,2023-05-23,25-34,Ж,False
YM000198,Санкт-Петербург,2023-12-05,35-44,Ж,True
YM000199,Москва,2023-12-14,18-24,М,True
YM000200,Другие,2024-12-31,25-34,Ж,True
YM000201,Новосибирск,2023-01-15,55+,Ж,True
YM000202,Челябинск,2023-01-31,25-34,М,False
YM000203,Москва,2023-07-22,18-24,Ж,True
YM000204,Москва,2023-02-12,25-34,Ж,False
YM000205,Другие,2023-02-15,25-34,Ж,False
YM000206,Другие,2023-05-26,25-34,М,True
YM000207,Нижний Новгород,2023-11-10,18-24,Ж,False
YM000208,Москва,2023-07-11,45-54,Ж,False
