order_id,customer_id,order_date,category,price,quantity,discount_pct,total_amount,status,delivery_type,payment_method,city,yandex_plus,rating
YMO0000001,YM000278,2024-04-13,Электроника и гаджеты,45295.79,2,5,86062.01,Доставлен,Почта России,При получении,Москва,False,
YMO0000002,YM000077,2024-05-27,Электроника и гаджеты,44567.71,3,0,133703.12,Доставлен,Почта России,При получении,Москва,False,5.0
YMO0000003,YM002419,2023-05-06,Детские товары,2676.5,2,5,5085.36,Отменён,Курьер Яндекс,Яндекс Пэй,Москва,True,
YMO0000004,YM001597,2023-11-09,Электроника и гаджеты,28442.41,1,0,28442.41,Доставлен,Курьер Яндекс,При получении,Москва,False,
YMO0000005,YM002409,2024-11-24,Авто и мото,4105.14,4,15,13957.48,Доставлен,Почта России,Картой онлайн,Новосибирск,True,
YMO0000006,YM001725,2024-02-07,Одежда и обувь,8962.5,1,30,6273.75,Доставлен,Пункт выдачи,Картой онлайн,Санкт-Петербург,False,
YMO0000007,YM001294,2024-11-22,Продукты и напитки,1612.2,3,15,4111.1,Отменён,Пункт выдачи,Картой онлайн,Новосибирск,True,
YMO0000008,YM000115,2024-02-19,Электроника и гаджеты,21421.0,2,0,42842.0,Возврат,Пункт выдачи,Яндекс Пэй,Другие,False,
YMO0000009,YM001575,2023-12-22,Книги и канцелярия,1102.2,1,0,1102.2,Доставлен,Экспресс-доставка,При получении,Москва,True,
YMO0000010,YM000382,2024-09-01,Электроника и гаджеты,33909.04,1,10,30518.14,Возврат,Курьер Яндекс,В кредит,Ростов-на-Дону,False,
YMO0000011,YM001859,2023-10-20,Бытовая техника,21988.4,2,5,41777.96,Доставлен,Курьер Яндекс,Яндекс Пэй,Новосибирск,True,
YMO0000012,YM001723,2023-04-15,Детские товары,7563.01,1,15,6428.56,Доставлен,Курьер Яндекс,При получении,Санкт-Петербург,True,3.0
YMO0000013,YM002494,2024-10-21,Продукты и напитки,1168.03,1,15,992.83,Доставлен,Пункт выдачи,СБП,Красноярск,True,
YMO0000014,YM002200,2023-12-19,Продукты и напитки,1210.42,1,5,1149.9,Доставлен,Курьер Яндекс,В кредит,Другие,True,
YMO0000015,YM001545,2024-06-27,Дом и дача,2331.81,1,5,2215.22,Доставлен,Курьер Яндекс,Картой онлайн,Санкт-Петербург,False,
YMO0000016,YM001029,2024-04-12,Продукты и напитки,383.11,3,10,1034.4,Доставлен,Экспресс-доставка,Картой онлайн,Ростов-на-Дону,False,5.0
YMO0000017,YM000758,2023-12-25,Детские товары,2818.76,1,0,2818.76,Отменён,Пункт выдачи,Картой онлайн,Тюмень,True,
YMO0000018,YM002060,2023-11-05,Бытовая техника,13026.88,3,10,35172.57,Доставлен,Почта России,СБП,Санкт-Петербург,True,2.0
YMO0000019,YM001836,2024-12-21,Спорт и туризм,6629.17,3,5,18893.12,Доставлен,Курьер Яндекс,СБП,Санкт-Петербург,False,
YMO0000020,YM001735,2023-10-20,Одежда и обувь,3001.96,2,5,5703.73,Доставлен,Курьер Яндекс,При получении,Другие,False,5.0
YMO0000021,YM001695,2023-12-25,Бытовая техника,10855.65,2,0,21711.3,Доставлен,Пункт выдачи,При получении,Ростов-на-Дону,False,
YMO0000022,YM001073,2024-07-06,Бытовая техника,35756.46,2,0,71512.92,Доставлен,Курьер Яндекс,Картой онлайн,Москва,False,5.0
YMO0000023,YM000149,2024-12-29,Продукты и напитки,2743.07,1,30,1920.15,Доставлен,Почта России,Картой онлайн,Самара,True,
YMO0000024,YM002049,2024-03-11,Красота и гигиена,4382.25,1,10,3944.03,Возврат,Пункт выдачи,СБП,Москва,True,
YMO0000025,YM000151,2024-08-26,Спорт и туризм,29570.75,1,5,28092.21,Доставлен,Пункт выдачи,Картой онлайн,Москва,False,
YMO0000026,YM000896,2024-12-18,Детские товары,2171.39,1,0,2171.39,Доставлен,Пункт выдачи,Картой онлайн,Казань,False,
YMO0000027,YM001995,2023-02-06,Красота и гигиена,3415.31,1,0,3415.31,Доставлен,Почта России,Картой онлайн,Воронеж,False,
YMO0000028,YM002032,2024-05-16,Одежда и обувь,2971.29,2,10,5348.32,Доставлен,Пункт выдачи,При получении,Другие,True,5.0
YMO0000029,YM000661,2024-12-28,Дом и дача,4757.21,1,0,4757.21,Возврат,Пункт выдачи,Яндекс Пэй,Нижний Новгород,True,
YMO0000030,YM000789,2024-09-04,Красота и гигиена,5640.62,1,0,5640.62,Доставлен,Пункт выдачи,Картой онлайн,Екатеринбург,True,
YMO0000031,YM000121,2023-07-26,Дом и дача,18488.23,1,20,14790.59,Доставлен,Почта России,При получении,Другие,True,2.0
YMO0000032,YM001466,2024-03-26,Спорт и туризм,22766.45,2,0,45532.91,Доставлен,Экспресс-доставка,В кредит,Москва,False,4.0
YMO0000033,YM001957,2024-08-19,Детские товары,4008.93,2,0,8017.86,Доставлен,Курьер Яндекс,Картой онлайн,Пермь,True,4.0
YMO0000034,YM002026,2023-04-01,Детские товары,2136.65,1,10,1922.99,Доставлен,Пункт выдачи,Картой онлайн,Другие,False,3.0
YMO0000035,YM000726,2024-01-29,Дом и дача,8024.77,5,15,34105.29,Доставлен,Курьер Яндекс,СБП,Другие,False,
YMO0000036,YM000139,2024-07-31,Дом и дача,5863.51,1,0,5863.51,Доставлен,Пункт выдачи,Яндекс Пэй,Казань,False,
YMO0000037,YM001857,2024-01-14,Детские товары,3746.66,2,10,6743.98,Доставлен,Почта России,Картой онлайн,Москва,True,
YMO0000038,YM000351,2024-12-12,Дом и дача,3986.75,2,20,6378.8,Доставлен,Экспресс-доставка,При получении,Москва,False,4.0
YMO0000039,YM002303,2023-03-20,Одежда и обувь,2854.13,1,15,2426.01,Доставлен,Экспресс-доставка,Картой онлайн,Москва,False,
YMO0000040,YM001441,2024-01-20,Продукты и напитки,1518.86,2,0,3037.72,Доставлен,Пункт выдачи,СБП,Москва,False,
YMO0000041,YM000553,2024-10-01,Авто и мото,11792.24,1,10,10613.01,Доставлен,Курьер Яндекс,При получении,Санкт-Петербург,False,
YMO0000042,YM001398,2024-06-13,Электроника и гаджеты,32935.87,1,0,32935.87,Возврат,Курьер Яндекс,Яндекс Пэй,Другие,False,
YMO0000043,YM002260,2023-11-26,Одежда и обувь,10181.06,1,20,8144.84,Возврат,Пункт выдачи,В кредит,Москва,False,
YMO0000044,YM000780,2024-06-10,Дом и дача,8724.81,2,0,17449.63,Доставлен,Курьер Яндекс,В кредит,Челябинск,False,5.0
YMO0000045,YM002257,2024-11-29,Детские товары,4868.46,4,0,19473.86,Доставлен,Экспресс-доставка,При получении,Нижний Новгород,False,3.0
YMO0000046,YM002448,2024-05-27,Одежда и обувь,18076.54,1,15,15365.06,Доставлен,Пункт выдачи,Картой онлайн,Санкт-Петербург,True,
YMO0000047,YM000868,2023-12-23,Бытовая техника,47460.61,1,5,45087.58,Доставлен,Курьер Яндекс,СБП,Москва,True,
YMO0000048,YM000578,2024-08-18,Бытовая техника,26959.85,1,15,22915.87,Доставлен,Пункт выдачи,Картой онлайн,Тюмень,False,
YMO0000049,YM001412,2023-04-16,Дом и дача,13260.2,2,0,26520.4,Возврат,Пункт выдачи,Картой онлайн,Москва,True,
YMO0000050,YM001451,2024-10-17,Одежда и обувь,8128.96,3,15,20728.86,Отменён,Пункт выдачи,Картой онлайн,Санкт-Петербург,True,
YMO0000051,YM000580,2023-03-15,Бытовая техника,15720.83,1,0,15720.83,Доставлен,Пункт выдачи,Яндекс Пэй,Санкт-Петербург,True,5.0
YMO0000052,YM001288,2024-10-05,Электроника и гаджеты,32020.48,3,10,86455.3,Отменён,Пункт выдачи,Картой онлайн,Новосибирск,True,
YMO0000053,YM000760,2023-12-14,Дом и дача,2828.96,1,20,2263.17,Доставлен,Экспресс-доставка,СБП,Другие,False,
YMO0000054,YM002364,2024-10-04,Детские товары,15000.0,1,0,15000.0,Доставлен,Курьер Яндекс,При получении,Санкт-Петербург,False,
YMO0000055,YM001498,2024-08-18,Дом и дача,5983.38,3,15,15257.61,Возврат,Пункт выдачи,Картой онлайн,Нижний Новгород,False,
YMO0000056,YM000068,2024-07-02,Красота и гигиена,3130.52,2,0,6261.03,Доставлен,Экспресс-доставка,СБП,Ростов-на-Дону,False,4.0
YMO0000057,YM001554,2024-08-11,Красота и гигиена,2320.88,3,0,6962.63,Доставлен,Курьер Яндекс,При получении,Ростов-на-Дону,False,
YMO0000058,YM001189,2023-12-28,Электроника и гаджеты,42664.61,1,20,34131.68,Доставлен,Пункт выдачи,Яндекс Пэй,Ростов-на-Дону,True,3.0
YMO0000059,YM000853,2023-12-05,Одежда и обувь,3361.44,1,10,3025.3,Доставлен,Пункт выдачи,Яндекс Пэй,Другие,False,
YMO0000060,YM000421,2023-09-25,Электроника и гаджеты,17229.81,1,0,17229.81,Отменён,Пункт выдачи,При получении,Москва,False,
YMO0000061,YM001476,2024-10-28,Электроника и гаджеты,12876.79,1,10,11589.11,Доставлен,Экспресс-доставка,СБП,Москва,True,5.0
YMO0000062,YM002057,2024-04-12,Продукты и напитки,2116.99,2,10,3810.57,Доставлен,Пункт выдачи,При получении,Москва,False,
YMO0000063,YM001767,2024-02-07,Дом и дача,7140.36,1,20,5712.29,Доставлен,Пункт выдачи,Картой онлайн,Москва,True,
YMO0000064,YM002218,2024-02-01,Электроника и гаджеты,31279.42,2,20,50047.07,Доставлен,Экспресс-доставка,Картой онлайн,Санкт-Петербург,True,
YMO0000065,YM001889,2023-11-30,Детские товары,2378.58,2,15,4043.59,Доставлен,Курьер Яндекс,Яндекс Пэй,Казань,True,4.0
