customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
YM000001,90,10,155361.39,2,4,3,243,Перспективные
YM000002,105,5,277251.0,1,2,4,124,В зоне риска
YM000003,77,4,120366.29999999999,2,1,3,213,Нуждаются во внимании
YM000004,105,5,122109.63,1,2,3,123,В зоне риска
YM000005,12,4,135423.71,4,1,3,413,Новички
YM000006,65,5,30905.48,2,2,1,221,Перспективные
YM000007,4,3,26832.96,4,1,1,411,Новички
YM000008,59,8,120037.93,2,3,3,233,Перспективные
YM000009,52,8,111536.74,2,3,2,232,Перспективные
YM000010,16,4,91223.93,3,1,2,312,Новички
YM000011,42,5,42746.9,2,2,1,221,Перспективные
YM000012,7,4,18006.94,4,1,1,411,Новички
YM000013,3,9,397521.16,4,4,4,444,Чемпионы
YM000014,25,9,212322.43,3,4,4,344,Чемпионы
YM000015,30,8,260610.78,3,3,4,334,Чемпионы
YM000016,23,7,105497.43000000001,3,3,2,332,Лояльные
YM000017,85,4,87626.88,2,1,2,212,Нуждаются во внимании
YM000018,1,7,255360.18,4,3,4,434,Чемпионы
YM000019,32,9,217472.88999999998,3,4,4,344,Чемпионы
YM000020,2,5,86304.64,4,2,2,422,Лояльные
YM000021,2,3,38940.56,4,1,1,411,Новички
YM000022,56,7,84884.65000000001,2,3,2,232,Перспективные
YM000023,116,5,71242.96,1,2,2,122,В зоне риска
YM000024,40,7,278832.47000000003,2,3,4,234,Перспективные
YM000025,11,7,169984.97,4,3,3,433,Чемпионы
YM000026,52,7,316381.48,2,3,4,234,Перспективные
YM000027,20,10,102985.64,3,4,2,342,Лояльные
YM000028,1,5,161308.87,4,2,3,423,Лояльные
YM000029,32,4,27629.510000000002,3,1,1,311,Новички
YM000030,13,6,109549.97,4,2,2,422,Лояльные
YM000031,89,7,385237.99,2,3,4,234,Перспективные
YM000032,4,5,118353.53,4,2,3,423,Лояльные
YM000033,3,8,136658.62,4,3,3,433,Чемпионы
YM000034,290,3,119588.0,1,1,3,113,Спящие
YM000035,20,2,19539.68,3,1,1,311,Новички
YM000036,104,6,91624.62,1,2,2,122,В зоне риска
YM000037,15,3,239898.75999999998,3,1,4,314,Новички
YM000038,110,4,70942.94,1,1,2,112,Спящие
